NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CILP2	cartilage intermediate layer protein 2 [Source:HGNC Symbol;Acc:HGNC:24213]	3	0.764146089553833	0.07178841	Yes	
row_1	MFAP2	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	5	0.7410611510276794	0.1477515	Yes	
row_2	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	8	0.722037672996521	0.21835703	Yes	
row_3	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	39	0.563974916934967	0.17902835	Yes	
row_4	RSPO4	R-spondin 4 [Source:HGNC Symbol;Acc:HGNC:16175]	56	0.5082136392593384	0.18024544	Yes	
row_5	FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]	57	0.5078830718994141	0.23458332	Yes	
row_6	CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	59	0.5062690377235413	0.28542626	Yes	
row_7	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	90	0.46831223368644714	0.2358627	Yes	
row_8	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	97	0.4564126133918762	0.26476026	Yes	
row_9	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	101	0.45167556405067444	0.30311778	Yes	
row_10	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]	106	0.4417065382003784	0.33708647	Yes	
row_11	MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	107	0.4356086552143097	0.38369176	Yes	
row_12	PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	129	0.39572954177856445	0.356263	Yes	
row_13	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	130	0.3939342796802521	0.39840963	Yes	
row_14	TNR	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	161	0.3569311499595642	0.33692956	No	
row_15	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	168	0.349396675825119	0.35437757	No	
row_16	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	183	0.3164001405239105	0.34171727	No	
row_17	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	194	0.2800982892513275	0.3384621	No	
row_18	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	195	0.2744216322898865	0.36782217	No	
row_19	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	284	-0.4125460386276245	0.11960125	No	
