NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CILP2	cartilage intermediate layer protein 2 [Source:HGNC Symbol;Acc:HGNC:24213]	3	0.764146089553833	0.021379136	Yes	
row_1	MFAP2	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	5	0.7410611510276794	0.049317576	Yes	
row_2	CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23228]	7	0.7284939289093018	0.076718226	Yes	
row_3	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	8	0.722037672996521	0.107616186	Yes	
row_4	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	15	0.673958420753479	0.113815196	Yes	
row_5	FGF14	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]	17	0.6521079540252686	0.13794708	Yes	
row_6	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	39	0.563974916934967	0.08283582	Yes	
row_7	WIF1	WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]	44	0.548621416091919	0.09121849	Yes	
row_8	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	46	0.5363436937332153	0.110396504	Yes	
row_9	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	49	0.531133234500885	0.12557797	Yes	
row_10	RSPO4	R-spondin 4 [Source:HGNC Symbol;Acc:HGNC:16175]	56	0.5082136392593384	0.124684304	Yes	
row_11	FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]	57	0.5078830718994141	0.146418	Yes	
row_12	CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	59	0.5062690377235413	0.16430905	Yes	
row_13	MUC13	mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]	62	0.5029782056808472	0.17828569	Yes	
row_14	OGN	osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]	73	0.48939749598503113	0.1614925	Yes	
row_15	HAPLN1	hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]	78	0.48473218083381653	0.16714115	Yes	
