NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	15	0.673958420753479	0.09908877	Yes	
row_1	FGF14	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]	17	0.6521079540252686	0.23459455	Yes	
row_2	WIF1	WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]	47	0.548621416091919	0.26601937	Yes	
row_3	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	49	0.5363436937332153	0.37694913	Yes	
row_4	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	52	0.531133234500885	0.4838402	Yes	
row_5	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	108	0.45308855175971985	0.41873765	No	
row_6	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	129	0.4128963053226471	0.44774187	No	
row_7	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	178	0.3475959002971649	0.3807718	No	
row_8	CXCL5	C-X-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10642]	196	0.3004380464553833	0.39469948	No	
row_9	ANGPTL5	angiopoietin like 5 [Source:HGNC Symbol;Acc:HGNC:19705]	215	0.2542749345302582	0.39589447	No	
