NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AJAP1	adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]	14	0.676634669303894	0.042496495	No	
row_1	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	46	0.5363436937332153	0.0100599695	No	
row_2	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	68	0.49848344922065735	0.005865692	No	
row_3	SLC12A8	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	86	0.47251078486442566	0.011543868	No	
row_4	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	95	0.4587521255016327	0.04531249	No	
row_5	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	111	0.43052342534065247	0.052111946	No	
row_6	RASSF9	Ras association domain family member 9 [Source:HGNC Symbol;Acc:HGNC:15739]	140	0.3818904757499695	0.009324596	No	
row_7	MECOM	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]	154	0.36605626344680786	0.014288215	No	
row_8	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	157	0.36244797706604004	0.05532203	No	
row_9	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	216	0.1390465795993805	-0.11907807	No	
row_10	SLPI	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	221	-0.08059406280517578	-0.12176534	No	
row_11	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	238	-0.21542078256607056	-0.14658388	Yes	
row_12	TBC1D4	TBC1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:19165]	242	-0.23386181890964508	-0.12578723	Yes	
row_13	DDR1	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	244	-0.23922085762023926	-0.09764111	Yes	
row_14	SAA1	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	245	-0.2406039983034134	-0.06599078	Yes	
row_15	PAK6	p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]	251	-0.2708515524864197	-0.046972822	Yes	
row_16	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]	256	-0.29694467782974243	-0.021200176	Yes	
row_17	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	287	-0.44151923060417175	-0.06278816	Yes	
row_18	LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	295	-0.45429423451423645	-0.026283696	Yes	
row_19	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	318	-0.8059419393539429	0.0066444925	Yes	
