NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MFAP2	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	6	0.7267648577690125	0.01220335	Yes	
row_1	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	20	0.6741570234298706	0.023306828	Yes	
row_2	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	53	0.6122404336929321	0.032802403	Yes	
row_3	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	99	0.5649881958961487	0.041114572	Yes	
row_4	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	104	0.5616326332092285	0.05056368	Yes	
row_5	KCNJ6	potassium inwardly rectifying channel subfamily J member 6 [Source:HGNC Symbol;Acc:HGNC:6267]	113	0.5554306507110596	0.059790656	Yes	
row_6	MMP19	matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165]	117	0.5533627271652222	0.06912803	Yes	
row_7	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	121	0.5512638688087463	0.07842966	Yes	
row_8	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	132	0.5444245934486389	0.087410934	Yes	
row_9	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	182	0.5264542102813721	0.09495031	Yes	
row_10	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	197	0.5202885270118713	0.10340401	Yes	
row_11	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	218	0.5125907063484192	0.11155186	Yes	
row_12	BICC1	BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]	226	0.5105392336845398	0.12004338	Yes	
row_13	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	240	0.5062156915664673	0.12828653	Yes	
row_14	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	250	0.5028981566429138	0.13658965	Yes	
row_15	PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	263	0.5010025501251221	0.14477313	Yes	
row_16	PDGFRL	platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]	269	0.500063419342041	0.15314448	Yes	
row_17	CHN1	chimerin 1 [Source:HGNC Symbol;Acc:HGNC:1943]	311	0.4902602732181549	0.16030039	Yes	
row_18	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	322	0.48796385526657104	0.16832004	Yes	
row_19	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	330	0.48616746068000793	0.17639647	Yes	
row_20	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	348	0.4803979992866516	0.18408339	Yes	
row_21	ACTA2	actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]	373	0.47553086280822754	0.19148354	Yes	
row_22	ZEB1	zinc finger E-box binding homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11642]	412	0.4671214818954468	0.19833274	Yes	
row_23	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	421	0.4646656811237335	0.20601383	Yes	
row_24	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	479	0.45562881231307983	0.21211393	Yes	
row_25	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	511	0.4510950446128845	0.21889403	Yes	
row_26	RGS17	regulator of G protein signaling 17 [Source:HGNC Symbol;Acc:HGNC:14088]	538	0.4473634958267212	0.22575621	Yes	
row_27	FAT4	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]	580	0.4418642818927765	0.23208787	Yes	
row_28	MYL9	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]	588	0.44008031487464905	0.23937935	Yes	
row_29	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	600	0.43881532549858093	0.24653278	Yes	
row_30	CYBRD1	cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797]	653	0.4307287037372589	0.2523544	Yes	
row_31	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	699	0.4249327778816223	0.2582812	Yes	
row_32	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	818	0.41043075919151306	0.26183492	Yes	
row_33	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	822	0.4098639488220215	0.26872826	Yes	
row_34	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	872	0.40456920862197876	0.27419174	Yes	
row_35	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	961	0.3971535265445709	0.27839303	Yes	
row_36	ARHGAP22	Rho GTPase activating protein 22 [Source:HGNC Symbol;Acc:HGNC:30320]	963	0.396934449672699	0.28512442	Yes	
row_37	ANXA6	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]	988	0.3946806788444519	0.29114756	Yes	
row_38	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	1035	0.3900408148765564	0.29645094	Yes	
row_39	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	1037	0.38989144563674927	0.30306235	Yes	
row_40	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	1089	0.386417955160141	0.30815843	Yes	
row_41	NID2	nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]	1105	0.38476893305778503	0.31427485	Yes	
row_42	SNED1	sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]	1119	0.3837847411632538	0.32043278	Yes	
row_43	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1207	0.37654629349708557	0.32431224	Yes	
row_44	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	1225	0.37530574202537537	0.33020926	Yes	
row_45	RECK	reversion inducing cysteine rich protein with kazal motifs [Source:HGNC Symbol;Acc:HGNC:11345]	1244	0.37333640456199646	0.3360436	Yes	
row_46	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	1258	0.3726625442504883	0.3420121	Yes	
row_47	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	1386	0.3645365238189697	0.34452206	Yes	
row_48	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	1411	0.3627367317676544	0.35000113	Yes	
row_49	RGL1	ral guanine nucleotide dissociation stimulator like 1 [Source:HGNC Symbol;Acc:HGNC:30281]	1450	0.36025121808052063	0.35503015	Yes	
row_50	TRPA1	transient receptor potential cation channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:497]	1496	0.3566441237926483	0.35979384	Yes	
row_51	OLFML3	olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]	1508	0.3555451035499573	0.36552906	Yes	
row_52	STARD13	StAR related lipid transfer domain containing 13 [Source:HGNC Symbol;Acc:HGNC:19164]	1518	0.35501694679260254	0.3713135	Yes	
row_53	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	1531	0.3539254367351532	0.376992	Yes	
row_54	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	1565	0.35157057642936707	0.38201877	Yes	
row_55	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	1694	0.34410881996154785	0.3841517	Yes	
row_56	ANOS1	anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]	1731	0.3419923782348633	0.38892797	Yes	
row_57	SATB2	SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]	1793	0.3386685252189636	0.39291954	Yes	
row_58	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	1795	0.3383788764476776	0.3986536	Yes	
row_59	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	1861	0.33513450622558594	0.40246847	Yes	
row_60	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	1909	0.3324570655822754	0.40676197	Yes	
row_61	PCOLCE2	procollagen C-endopeptidase enhancer 2 [Source:HGNC Symbol;Acc:HGNC:8739]	1950	0.3305772840976715	0.41122735	Yes	
row_62	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	1999	0.3285716772079468	0.41542554	Yes	
row_63	SEMA5A	semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736]	2219	0.31816452741622925	0.41446632	Yes	
row_64	MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	2224	0.3178957998752594	0.41976413	Yes	
row_65	MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	2278	0.3153649568557739	0.4235918	Yes	
row_66	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	2325	0.31401729583740234	0.42760035	Yes	
row_67	CDH18	cadherin 18 [Source:HGNC Symbol;Acc:HGNC:1757]	2345	0.313010573387146	0.43237814	Yes	
row_68	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	2380	0.3118927478790283	0.43670002	Yes	
row_69	NR2F1	nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]	2477	0.30786585807800293	0.43914762	Yes	
row_70	EML1	EMAP like 1 [Source:HGNC Symbol;Acc:HGNC:3330]	2491	0.30741873383522034	0.4440049	Yes	
row_71	CLEC3B	C-type lectin domain family 3 member B [Source:HGNC Symbol;Acc:HGNC:11891]	2539	0.3052580952644348	0.44783515	Yes	
row_72	ZFHX4	zinc finger homeobox 4 [Source:HGNC Symbol;Acc:HGNC:30939]	2621	0.3023712635040283	0.45062602	Yes	
row_73	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	2627	0.3021950423717499	0.45562732	Yes	
row_74	CREB3L1	cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856]	2675	0.30076515674591064	0.45938104	Yes	
row_75	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	3102	0.2884984612464905	0.4518879	Yes	
row_76	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	3110	0.2883422076702118	0.456595	Yes	
row_77	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	3172	0.28673914074897766	0.45970213	Yes	
row_78	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	3210	0.2855217456817627	0.46348748	Yes	
row_79	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	3236	0.2848249673843384	0.46761045	Yes	
row_80	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	3689	0.2736569046974182	0.45910728	Yes	
row_81	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	3794	0.27065834403038025	0.46068817	Yes	
row_82	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	3829	0.2698822319507599	0.46429455	Yes	
row_83	ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	4144	0.2615317702293396	0.45960397	Yes	
row_84	SEPTIN11	septin 11 [Source:HGNC Symbol;Acc:HGNC:25589]	4279	0.25835472345352173	0.4601016	Yes	
row_85	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]	4369	0.255542516708374	0.4618619	Yes	
row_86	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	4437	0.25349175930023193	0.46422803	Yes	
row_87	NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	4502	0.2516389489173889	0.46664995	Yes	
row_88	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	4514	0.251345157623291	0.47061044	Yes	
row_89	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	4882	0.241095170378685	0.46402824	Yes	
row_90	WIPF1	WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]	4924	0.2402046173810959	0.46692526	Yes	
row_91	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	4941	0.23966683447360992	0.4705412	Yes	
