NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	8	0.722037672996521	0.12063398	Yes	
row_1	PKDCC	protein kinase domain containing, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:25123]	70	0.4963691234588623	0.021596167	Yes	
row_2	PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	129	0.39572954177856445	-0.08807582	Yes	
row_3	PRRG3	proline rich and Gla domain 3 [Source:HGNC Symbol;Acc:HGNC:30798]	141	0.37795430421829224	-0.04726495	Yes	
row_4	MEG3	maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]	166	0.3496131896972656	-0.054841653	Yes	
row_5	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	169	0.3475959002971649	0.009302463	Yes	
row_6	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	171	0.344868540763855	0.07617052	Yes	
row_7	PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	207	0.23536980152130127	0.009290975	Yes	
row_8	ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	218	0.050247564911842346	-0.013275485	Yes	
row_9	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	225	-0.16644014418125153	9.0654474E-4	Yes	
row_10	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	229	-0.1806749850511551	0.027820028	Yes	
row_11	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	230	-0.18169789016246796	0.064777635	Yes	
row_12	AHSG	alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]	234	-0.19736860692501068	0.09508663	Yes	
row_13	AMBP	alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]	237	-0.2123195230960846	0.13171534	Yes	
row_14	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	246	-0.24555377662181854	0.15543182	Yes	
row_15	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	284	-0.4125460386276245	0.11803279	No	
