NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	4223	0.2595977187156677	-0.10428343	No	
row_1	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	8312	0.16828905045986176	-0.21099062	No	
row_2	EIF1AX	eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	9160	0.15185700356960297	-0.22498526	No	
row_3	EIF3I	eukaryotic translation initiation factor 3 subunit I [Source:HGNC Symbol;Acc:HGNC:3272]	11877	0.0971398577094078	-0.29689714	No	
row_4	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	14428	0.04710325226187706	-0.36747253	No	
row_5	EIF3D	eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]	17080	-0.0025871607940644026	-0.44406027	No	
row_6	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	18295	-0.025961631909012794	-0.47741437	No	
row_7	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	18372	-0.027328751981258392	-0.47771966	No	
row_8	EIF3K	eukaryotic translation initiation factor 3 subunit K [Source:HGNC Symbol;Acc:HGNC:24656]	18443	-0.0285631250590086	-0.47776562	No	
row_9	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	19668	-0.05327344685792923	-0.509515	No	
row_10	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]	19884	-0.05716947466135025	-0.5117757	No	
row_11	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	21175	-0.08254003524780273	-0.54340637	No	
row_12	EIF3B	eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280]	21272	-0.08453027158975601	-0.54032344	No	
row_13	RPS11	ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]	21857	-0.09606209397315979	-0.55057204	No	
row_14	EIF3C	eukaryotic translation initiation factor 3 subunit C [Source:HGNC Symbol;Acc:HGNC:3279]	22096	-0.10088742524385452	-0.55046654	No	
row_15	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	23005	-0.119117870926857	-0.5684984	No	
row_16	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	23459	-0.12502308189868927	-0.57294476	No	
row_17	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	24230	-0.1384812742471695	-0.5856374	No	
row_18	RPS16	ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396]	24968	-0.14859862625598907	-0.59667265	No	
row_19	EIF4H	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]	25231	-0.15392009913921356	-0.5935839	No	
row_20	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	25643	-0.16292022168636322	-0.5941856	No	
row_21	RPS28	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	25821	-0.1658817082643509	-0.58780575	No	
row_22	RPSA	ribosomal protein SA [Source:HGNC Symbol;Acc:HGNC:6502]	26338	-0.17630109190940857	-0.59051996	No	
row_23	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	26834	-0.184983491897583	-0.59202385	No	
row_24	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	26881	-0.18614095449447632	-0.58044535	No	
row_25	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	27133	-0.19013665616512299	-0.57452613	No	
row_26	RPS15	ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:10388]	28118	-0.21304816007614136	-0.58824384	No	
row_27	RPS4X	ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	29033	-0.23312801122665405	-0.5985418	Yes	
row_28	RPS15A	ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]	29231	-0.2375260293483734	-0.58777195	Yes	
row_29	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]	29243	-0.23771709203720093	-0.5716027	Yes	
row_30	EIF3M	eukaryotic translation initiation factor 3 subunit M [Source:HGNC Symbol;Acc:HGNC:24460]	29302	-0.23891901969909668	-0.5567111	Yes	
row_31	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	30021	-0.2536376714706421	-0.5599108	Yes	
row_32	EIF3G	eukaryotic translation initiation factor 3 subunit G [Source:HGNC Symbol;Acc:HGNC:3274]	30170	-0.2559414505958557	-0.5464447	Yes	
row_33	RPS18	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	30864	-0.2651126980781555	-0.54812455	Yes	
row_34	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	31290	-0.2768629193305969	-0.5412288	Yes	
row_35	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	31441	-0.2809557020664215	-0.5260857	Yes	
row_36	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	31621	-0.2868674099445343	-0.5113723	Yes	
row_37	EIF3E	eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]	31765	-0.2916174829006195	-0.49528703	Yes	
row_38	EIF3F	eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]	31872	-0.2960369884967804	-0.47782376	Yes	
row_39	EIF3L	eukaryotic translation initiation factor 3 subunit L [Source:HGNC Symbol;Acc:HGNC:18138]	31912	-0.29761072993278503	-0.45831117	Yes	
row_40	FAU	FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]	31963	-0.29968953132629395	-0.43897295	Yes	
row_41	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	32056	-0.30340811610221863	-0.42059302	Yes	
row_42	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	32201	-0.3101224899291992	-0.40325323	Yes	
row_43	RPS13	ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386]	32207	-0.3104995787143707	-0.3818621	Yes	
row_44	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	32766	-0.3346571922302246	-0.37480912	Yes	
row_45	RPS5	ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]	33013	-0.34756746888160706	-0.35782588	Yes	
row_46	EIF3H	eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]	33209	-0.35963359475135803	-0.33852887	Yes	
row_47	RPS26	ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]	33236	-0.36178141832351685	-0.31418902	Yes	
row_48	RPS24	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]	33281	-0.36545032262802124	-0.29011595	Yes	
row_49	RPS27	ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]	33320	-0.3679529130458832	-0.26569557	Yes	
row_50	RPS25	ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413]	33369	-0.37120771408081055	-0.241339	Yes	
row_51	RPS29	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	33586	-0.3893416225910187	-0.2205896	Yes	
row_52	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	33664	-0.39618661999702454	-0.19534029	Yes	
row_53	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]	33685	-0.3983994126319885	-0.16828693	Yes	
row_54	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	33728	-0.40289306640625	-0.14155896	Yes	
row_55	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	34095	-0.4491354525089264	-0.121006	Yes	
