NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MFAP2	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	6	0.7267648577690125	0.05542475	Yes	
row_1	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	16	0.6856372356414795	0.10761636	Yes	
row_2	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	39	0.636797308921814	0.15569535	Yes	
row_3	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	129	0.5454761385917664	0.19484884	Yes	
row_4	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	197	0.5202885270118713	0.23271222	Yes	
row_5	MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	219	0.5116034746170044	0.27124268	Yes	
row_6	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	348	0.4803979992866516	0.30428874	Yes	
row_7	ITGA8	integrin subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:6144]	398	0.47031551599502563	0.33885017	Yes	
row_8	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	511	0.4510950446128845	0.37011763	Yes	
row_9	LOXL1	lysyl oxidase like 1 [Source:HGNC Symbol;Acc:HGNC:6665]	581	0.441832572221756	0.40192115	Yes	
row_10	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	584	0.4406093955039978	0.43557045	Yes	
row_11	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	655	0.43040016293525696	0.46647042	Yes	
row_12	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	818	0.41043075919151306	0.49317977	Yes	
row_13	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	1300	0.37000638246536255	0.50756305	Yes	
row_14	MFAP5	microfibril associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]	1570	0.35096707940101624	0.5266262	Yes	
row_15	EMILIN2	elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]	1576	0.3506058156490326	0.55330324	Yes	
row_16	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	2181	0.31927981972694397	0.56024563	Yes	
row_17	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	2277	0.3154359757900238	0.58162713	Yes	
row_18	EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	2414	0.3110686242580414	0.6014877	Yes	
row_19	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	2577	0.303714394569397	0.6200331	Yes	
row_20	EMILIN3	elastin microfibril interfacer 3 [Source:HGNC Symbol;Acc:HGNC:16123]	2938	0.292806476354599	0.63201284	Yes	
row_21	EMILIN1	elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]	3159	0.2870345711708069	0.64760345	Yes	
row_22	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	3190	0.2861664891242981	0.66862714	Yes	
row_23	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	3794	0.27065834403038025	0.6718789	Yes	
row_24	GDF5	growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]	4393	0.2545797824859619	0.6740453	Yes	
