NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRI1	methylthioribose-1-phosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:28469]	604	0.4381633400917053	-0.011954148	No	
row_1	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	698	0.4249943494796753	-0.009146292	No	
row_2	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	952	0.39821523427963257	-0.011362373	No	
row_3	SLC36A4	solute carrier family 36 member 4 [Source:HGNC Symbol;Acc:HGNC:19660]	1038	0.3897588849067688	-0.008778849	No	
row_4	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	1533	0.35380250215530396	-0.018615242	No	
row_5	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	1678	0.3446725308895111	-0.018342106	No	
row_6	HDC	histidine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4855]	2268	0.31606870889663696	-0.031445336	No	
row_7	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	2605	0.3028506934642792	-0.037326872	No	
row_8	SLC6A7	solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054]	2772	0.29765623807907104	-0.038307942	No	
row_9	CBSL	cystathionine beta-synthase like [Source:HGNC Symbol;Acc:HGNC:51829]	2818	0.29622891545295715	-0.035771526	No	
row_10	NAGS	N-acetylglutamate synthase [Source:HGNC Symbol;Acc:HGNC:17996]	2966	0.29212048649787903	-0.036269326	No	
row_11	CARNS1	carnosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:29268]	3650	0.27448803186416626	-0.052660186	No	
row_12	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	3792	0.270713210105896	-0.053260975	No	
row_13	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	4109	0.26295483112335205	-0.059076753	No	
row_14	PYCR3	pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846]	4170	0.26061174273490906	-0.05744177	No	
row_15	TYRP1	tyrosinase related protein 1 [Source:HGNC Symbol;Acc:HGNC:12450]	4373	0.255338579416275	-0.060025092	No	
row_16	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	4834	0.2421543002128601	-0.0703195	No	
row_17	AMT	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	4902	0.2406950145959854	-0.069148034	No	
row_18	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:14526]	5604	0.22385573387145996	-0.08672323	No	
row_19	PSMD4	proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]	6719	0.19736164808273315	-0.116712205	No	
row_20	PSMC5	proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]	6803	0.19697147607803345	-0.1165768	No	
row_21	PSMD13	proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]	7014	0.19238267838954926	-0.120212436	No	
row_22	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	7043	0.19176313281059265	-0.11853745	No	
row_23	PSME4	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]	7103	0.19030681252479553	-0.11778733	No	
row_24	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]	7235	0.18706242740154266	-0.11918348	No	
row_25	ASMT	acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750]	7577	0.18259726464748383	-0.12677464	No	
row_26	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	8281	0.16914543509483337	-0.1451196	No	
row_27	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	9086	0.15356563031673431	-0.1666187	No	
row_28	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	9133	0.1523992419242859	-0.16598155	No	
row_29	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	9501	0.145205557346344	-0.17481866	No	
row_30	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	9679	0.14109642803668976	-0.17815673	No	
