NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LHX2	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]	335	0.48429200053215027	0.0036746038	No	
row_1	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	576	0.44211673736572266	0.00894158	No	
row_2	LHX9	LIM homeobox 9 [Source:HGNC Symbol;Acc:HGNC:14222]	2229	0.3176923096179962	-0.030257454	No	
row_3	MAGOHB	mago homolog B, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:25504]	2526	0.30580031871795654	-0.030391145	No	
row_4	LHX3	LIM homeobox 3 [Source:HGNC Symbol;Acc:HGNC:6595]	3176	0.2865230441093445	-0.04131387	No	
row_5	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	4236	0.2594456076622009	-0.06489754	No	
row_6	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	4834	0.2421543002128601	-0.07553785	No	
row_7	ROBO3	roundabout guidance receptor 3 [Source:HGNC Symbol;Acc:HGNC:13433]	5744	0.22042393684387207	-0.095843986	No	
row_8	RBM8A	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]	6285	0.2059292048215866	-0.10583118	No	
row_9	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	6343	0.2049354612827301	-0.10181376	No	
row_10	PSMD4	proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]	6719	0.19736164808273315	-0.10724456	No	
row_11	PSMC5	proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]	6803	0.19697147607803345	-0.10420296	No	
row_12	PSMD13	proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]	7014	0.19238267838954926	-0.104978	No	
row_13	PSME4	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]	7103	0.19030681252479553	-0.10226617	No	
row_14	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	8281	0.16914543509483337	-0.13177782	No	
row_15	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	9133	0.1523992419242859	-0.15228212	No	
row_16	ROBO1	roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]	9588	0.14306989312171936	-0.16151103	No	
row_17	HOXA2	homeobox A2 [Source:HGNC Symbol;Acc:HGNC:5103]	10584	0.12545815110206604	-0.18694465	No	
row_18	PSMD12	proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]	10867	0.11924970149993896	-0.19183603	No	
row_19	PSMD5	proteasome 26S subunit, non-ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9563]	11363	0.10822784155607224	-0.20322064	No	
row_20	ELOC	elongin C [Source:HGNC Symbol;Acc:HGNC:11617]	11799	0.09895158559083939	-0.21311891	No	
row_21	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	12451	0.08533479273319244	-0.2296694	No	
row_22	UPF3B	UPF3B regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:20439]	12578	0.0830083042383194	-0.23103197	No	
row_23	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]	12828	0.07801324129104614	-0.23610623	No	
row_24	MSI1	musashi RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7330]	12865	0.0773882195353508	-0.2350097	No	
row_25	PSMD2	proteasome 26S subunit, non-ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9559]	13136	0.07208490371704102	-0.24085817	No	
