NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	68	0.5015784502029419	-0.109124795	No	
row_1	FOXG1	forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]	111	0.4494379758834839	-0.15089628	No	
row_2	RORB	RAR related orphan receptor B [Source:HGNC Symbol;Acc:HGNC:10259]	124	0.42325499653816223	-0.10871592	No	
row_3	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	134	0.39747288823127747	-0.062391814	No	
row_4	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	165	0.3624497652053833	-0.08462596	No	
row_5	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	166	0.36244797706604004	-0.018103033	No	
row_6	RNU4-1	RNA, U4 small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10192]	185	0.33305642008781433	-0.010229011	No	
row_7	NR0B1	nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]	201	0.29103490710258484	-0.0011917856	No	
row_8	KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	239	-0.16774258017539978	-0.07987213	No	
row_9	ZNF716	zinc finger protein 716 [Source:HGNC Symbol;Acc:HGNC:32458]	277	-0.32789868116378784	-0.12915777	No	
row_10	ZNF208	zinc finger protein 208 [Source:HGNC Symbol;Acc:HGNC:12999]	314	-0.45382818579673767	-0.15237199	Yes	
row_11	USP2	ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12618]	331	-0.5874849557876587	-0.09188354	Yes	
row_12	ZNF679	zinc finger protein 679 [Source:HGNC Symbol;Acc:HGNC:28650]	346	-0.7907793521881104	0.011834292	Yes	
