NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC38A5	solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]	106	0.45550334453582764	-0.16561759	No	
row_1	TRPA1	transient receptor potential cation channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:497]	164	0.3625761568546295	-0.21716909	No	
row_2	SOAT2	sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178]	187	0.33198773860931396	-0.17583413	No	
row_3	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	227	0.1390465795993805	-0.24586996	No	
row_4	ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	229	0.050247564911842346	-0.23278157	No	
row_5	MB	myoglobin [Source:HGNC Symbol;Acc:HGNC:6915]	232	-0.07577648013830185	-0.21448606	No	
row_6	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	238	-0.16644014418125153	-0.17608099	No	
row_7	LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	315	-0.45429423451423645	-0.25410753	Yes	
row_8	TRDN	triadin [Source:HGNC Symbol;Acc:HGNC:12261]	323	-0.4998242259025574	-0.11527125	Yes	
row_9	ATP8A2	ATPase phospholipid transporting 8A2 [Source:HGNC Symbol;Acc:HGNC:13533]	332	-0.600668728351593	0.05278578	Yes	
