NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLT8D2	glycosyltransferase 8 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24890]	104	0.4574350118637085	-0.17756385	Yes	
row_1	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	108	0.45308855175971985	-0.060150757	Yes	
row_2	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	122	0.42596179246902466	0.020380482	Yes	
row_3	RASSF9	Ras association domain family member 9 [Source:HGNC Symbol;Acc:HGNC:15739]	149	0.3818904757499695	0.050512202	Yes	
row_4	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	157	0.37265151739120483	0.13378882	Yes	
row_5	AGTR1	angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]	171	0.3554823100566864	0.19468756	Yes	
row_6	ID1	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	174	0.35224467515945435	0.28694248	Yes	
row_7	PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	218	0.23536980152130127	0.22640654	No	
row_8	MB	myoglobin [Source:HGNC Symbol;Acc:HGNC:6915]	232	-0.07577648013830185	0.20939142	No	
row_9	SULT1A1	sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]	319	-0.4800358712673187	0.090909086	No	
