NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
TRAF3IP2	1	TRAF3IP2	
TRIL	1	TRIL	
CCDC13-AS1	1	CCDC13-AS1	
HS6ST2	1	HS6ST2	
ZNF728	1	ZNF728	
KAT5	1	KAT5	
CCN4	1	CCN4	
SNORA73B	1	SNORA73B	
PTGDS	1	PTGDS	
INHBA-AS1	1	INHBA-AS1	
C6orf223	1	C6orf223	
SLC12A8	1	SLC12A8	
HES7	1	HES7	
VCX3B	1	VCX3B	
MUCL1	1	MUCL1	
OMD	1	OMD	
RPS4XP16	1	RPS4XP16	
HOGA1	1	HOGA1	
EBF4	1	EBF4	
KRT5	1	KRT5	
BHLHA15	1	BHLHA15	
SLC51B	1	SLC51B	
GABRG2	1	GABRG2	
DKK3	1	DKK3	
CYP39A1	1	CYP39A1	
IGFL2-AS1	1	IGFL2-AS1	
SLPI	1	SLPI	
ZNF716	1	ZNF716	
PSG4	1	PSG4	
SOAT2	1	SOAT2	
MXRA8	1	MXRA8	
AGTR1	1	AGTR1	
RPL27	1	RPL27	
LINC02027	1	LINC02027	
AC010601.1	1	LOC107984893	
EPHA3	1	EPHA3	
MEG3	1	MEG3	
CFAP61	1	CFAP61	
BEX1	1	BEX1	
COL13A1	1	COL13A1	
FOXG1	1	FOXG1	
STC1	1	STC1	
AC087392.1	1	LOC101927727	
ADAMTS12	1	ADAMTS12	
MEG9	1	MEG9	
SULT1A1	1	SULT1A1	
ADH4	1	ADH4	
TSPAN8	1	TSPAN8	
STC2	1	STC2	
PDGFD	1	PDGFD	
SLAMF9	1	SLAMF9	
RDH16	1	RDH16	
ALX4	1	ALX4	
PCDHA3	1	PCDHA3	
NKX2-5	1	NKX2-5	
PCDHA7	1	PCDHA7	
RNA5-8SN4	1	RNA5-8SN4	
SLC10A4	1	SLC10A4	
AL354714.1	1	LOC101928372	
LINC00671	1	LINC00671	
AC036214.1	1	LOC101927040	
APCDD1L	1	APCDD1L	
IGF2	1	IGF2	
SH2D1B	1	SH2D1B	
SLC16A12	1	SLC16A12	
IL31RA	1	IL31RA	
FZD8	1	FZD8	
MICAL2	1	MICAL2	
NR0B1	1	NR0B1	
LINC02050	1	LINC02050	
RASSF9	1	RASSF9	
VCX2	1	VCX2	
HAL	1	HAL	
MEX3A	1	MEX3A	
DCHS2	1	DCHS2	
GJB6	1	GJB6	
ID1	1	ID1	
NMU	1	NMU	
ZNF702P	1	ZNF702P	
ATG2A	1	ATG2A	
AP002852.1	1	LOC107986898	
PAEP	1	PAEP	
FAT3	1	FAT3	
COL9A2	1	COL9A2	
DDR1	1	DDR1	
CLIC6	1	CLIC6	
ELN	1	ELN	
LINC02241	1	LINC02241	
EFCAB5	1	EFCAB5	
MEOX2	1	MEOX2	
METTL11B	1	METTL11B	
SHD	1	SHD	
AL357146.1	1	LOC100507477	
MRC2	1	MRC2	
SHE	1	SHE	
UCHL1	1	UCHL1	
GABRR1	1	GABRR1	
MECOM	1	MECOM	
EFCAB1	1	EFCAB1	
MUC13	1	MUC13	
ADAMTS7P1	1	ADAMTS7P1	
KIF1A	1	KIF1A	
RSPO4	1	RSPO4	
IL10	1	IL10	
SFTPB	1	SFTPB	
MYBPC1	1	MYBPC1	
MYBPC2	1	MYBPC2	
AHSG	1	AHSG	
AC006262.1	1	LOC93429	
BAAT	1	BAAT	
F3	1	F3	
AJAP1	1	AJAP1	
LINC01819	1	LINC01819	
DCSTAMP	1	DCSTAMP	
RIPPLY3	1	RIPPLY3	
MMP13	1	MMP13	
GAL	1	GAL	
KCNMA1	1	KCNMA1	
PXDN	1	PXDN	
ANGPTL5	1	ANGPTL5	
ALDOB	1	ALDOB	
RNU4-1	1	RNU4-1	
FOXC2	1	FOXC2	
CIPC	1	CIPC	
PTGER2	1	PTGER2	
LRRC17	1	LRRC17	
GDPD2	1	GDPD2	
FITM1	1	FITM1	
TUBA3C	1	TUBA3C	
WIF1	1	WIF1	
PRDM16-DT	1	PRDM16-DT	
OLFML1	1	OLFML1	
PAK6	1	PAK6	
CILP2	1	CILP2	
RUNX1T1	1	RUNX1T1	
GABRA2	1	GABRA2	
GABRQ	1	GABRQ	
GABRP	1	GABRP	
SERPIND1	1	SERPIND1	
DMRT2	1	DMRT2	
WNT7B	1	WNT7B	
AC034199.1	1	LOC100128059	
SULF1	1	SULF1	
CABCOCO1	1	CABCOCO1	
GCK	1	GCK	
FABP7	1	FABP7	
ZNF219	1	ZNF219	
SAA1	1	SAA1	
SAA2	1	SAA2	
LINC01711	1	LINC01711	
FMOD	1	FMOD	
AC087235.2	1	LOC101928441	
CRLF1	1	CRLF1	
RNU4-2	1	RNU4-2	
ADGRL3	1	ADGRL3	
ALG1L	1	ALG1L	
CEP126	1	CEP126	
ATP8A2	1	ATP8A2	
CHRM1	1	CHRM1	
RASL11B	1	RASL11B	
OTP	1	OTP	
RORB	1	RORB	
ALDH1L2	1	ALDH1L2	
NCMAP	1	NCMAP	
COMP	1	COMP	
PODNL1	1	PODNL1	
CDH1	1	CDH1	
ZNF208	1	ZNF208	
KIF5A	1	KIF5A	
TNR	1	TNR	
SVEP1	1	SVEP1	
TEKT5	1	TEKT5	
ROS1	1	ROS1	
AL109615.3	1	LOC101929705	
CHRNB2	1	CHRNB2	
TRGV3	1	TRGV3	
LINC01580	1	LINC01580	
OSR1	1	OSR1	
USP2	1	USP2	
CYS1	1	CYS1	
SHISA2	1	SHISA2	
NPNT	1	NPNT	
CACNB1	1	CACNB1	
RAB31	1	RAB31	
AL590550.1	1	LOC107986639	
DOK6	1	DOK6	
ZNF679	1	ZNF679	
LINC02544	1	LINC02544	
FBN2	1	FBN2	
FBLN7	1	FBLN7	
RASL12	1	RASL12	
PKDCC	1	PKDCC	
NPR1	1	NPR1	
SH3PXD2A-AS1	1	SH3PXD2A-AS1	
GLT8D2	1	GLT8D2	
VCX	1	VCX	
LCT-AS1	1	LCT-AS1	
NID1	1	NID1	
FBLN2	1	FBLN2	
LTBP1	1	LTBP1	
C3orf80	1	C3orf80	
VTN	1	VTN	
ADGRG2	1	ADGRG2	
HCAR1	1	HCAR1	
AC012101.2	1	LOC107985177	
PODXL	1	PODXL	
CPAMD8	1	CPAMD8	
AC099520.1	1	LOC105379109	
NPTX2	1	NPTX2	
MAP2K5	1	MAP2K5	
