NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	1158	0.3807663023471832	-0.002273553	No	
row_1	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	3396	0.2812984883785248	-0.04394928	No	
row_2	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	6142	0.21011434495449066	-0.10617468	No	
row_3	SEL1L3	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]	7540	0.183533176779747	-0.13155568	No	
row_4	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	7639	0.18138888478279114	-0.11950519	No	
row_5	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	9302	0.14868585765361786	-0.15541837	No	
row_6	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	9629	0.1421920508146286	-0.15318584	No	
row_7	CRCP	CGRP receptor component [Source:HGNC Symbol;Acc:HGNC:17888]	10606	0.1249825730919838	-0.17118403	No	
row_8	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	11987	0.09497079253196716	-0.20334172	No	
row_9	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	12115	0.09238214045763016	-0.19943614	No	
row_10	HMGB1	high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983]	12626	0.0820126011967659	-0.20746994	No	
row_11	PTP4A2	protein tyrosine phosphatase 4A2 [Source:HGNC Symbol;Acc:HGNC:9635]	12999	0.07465589046478271	-0.21211228	No	
row_12	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	13028	0.07410275936126709	-0.20684084	No	
row_13	FAM120A	family with sequence similarity 120A [Source:HGNC Symbol;Acc:HGNC:13247]	13482	0.06566421687602997	-0.21456623	No	
row_14	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	13681	0.06208106130361557	-0.21520317	No	
row_15	EIF5A	eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]	14067	0.05419374257326126	-0.22190133	No	
row_16	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	18469	-0.029008934274315834	-0.3469342	No	
row_17	MMP24OS	MMP24 opposite strand [Source:HGNC Symbol;Acc:HGNC:44421]	19627	-0.052228886634111404	-0.37614387	No	
row_18	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	20595	-0.07028848677873611	-0.39837056	No	
row_19	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	21175	-0.08254003524780273	-0.4083587	No	
row_20	H3-3A	H3.3 histone A [Source:HGNC Symbol;Acc:HGNC:4764]	21243	-0.08404969424009323	-0.40339994	No	
row_21	CDC5L	cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]	21635	-0.0918329507112503	-0.40718254	No	
row_22	SORL1	sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]	21744	-0.09368998557329178	-0.40261954	No	
row_23	RPS11	ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]	21857	-0.09606209397315979	-0.39797765	No	
row_24	HMGB1P4	high mobility group box 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:4996]	23843	-0.13148212432861328	-0.44465405	No	
row_25	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	25679	-0.16367486119270325	-0.48434553	No	
row_26	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	25870	-0.16675081849098206	-0.47616	No	
row_27	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	26881	-0.18614095449447632	-0.49012285	No	
row_28	RPL9P7	ribosomal protein L9 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:30335]	28078	-0.21210813522338867	-0.50733936	No	
row_29	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	28481	-0.22127249836921692	-0.5008165	No	
row_30	UGT1A10	UDP glucuronosyltransferase family 1 member A10 [Source:HGNC Symbol;Acc:HGNC:12531]	29498	-0.24306051433086395	-0.5102814	No	
row_31	RPL39	ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350]	31061	-0.26980218291282654	-0.5333587	Yes	
row_32	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	31222	-0.27466443181037903	-0.5154475	Yes	
row_33	RPL37A	ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]	31428	-0.28063416481018066	-0.49834907	Yes	
row_34	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]	31528	-0.28393885493278503	-0.47791064	Yes	
row_35	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	31621	-0.2868674099445343	-0.4570292	Yes	
row_36	KLF5	Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	31882	-0.2964460551738739	-0.44022533	Yes	
row_37	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	32056	-0.30340811610221863	-0.4203313	Yes	
row_38	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	32201	-0.3101224899291992	-0.39904663	Yes	
row_39	RPL13	ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]	32740	-0.33373209834098816	-0.38723087	Yes	
row_40	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	32888	-0.3400663137435913	-0.36357537	Yes	
row_41	RPS24	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]	33281	-0.36545032262802124	-0.34492946	Yes	
row_42	RPS27	ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]	33320	-0.3679529130458832	-0.31582946	Yes	
row_43	TPT1	tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:HGNC:12022]	33608	-0.3911152780056	-0.2920372	Yes	
row_44	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	33728	-0.40289306640625	-0.2624145	Yes	
