NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GLI1_UP.V1_DN	17		Rejected!	
GLI1_UP.V1_UP	24		Rejected!	
E2F1_UP.V1_DN	185		Rejected!	
E2F1_UP.V1_UP	188		Rejected!	
EGFR_UP.V1_DN	196		Rejected!	
EGFR_UP.V1_UP	192		Rejected!	
ERBB2_UP.V1_DN	197		Rejected!	
ERBB2_UP.V1_UP	190		Rejected!	
GCNP_SHH_UP_EARLY.V1_DN	167		Rejected!	
GCNP_SHH_UP_EARLY.V1_UP	171		Rejected!	
GCNP_SHH_UP_LATE.V1_DN	178		Rejected!	
GCNP_SHH_UP_LATE.V1_UP	181		Rejected!	
RAPA_EARLY_UP.V1_DN	185		Rejected!	
RAPA_EARLY_UP.V1_UP	167		Rejected!	
HINATA_NFKB_IMMU_INF	15		Rejected!	
HINATA_NFKB_MATRIX	11		Rejected!	
CYCLIN_D1_KE_.V1_DN	191		Rejected!	
CYCLIN_D1_KE_.V1_UP	188		Rejected!	
CYCLIN_D1_UP.V1_DN	190		Rejected!	
CYCLIN_D1_UP.V1_UP	187		Rejected!	
CSR_EARLY_UP.V1_DN	126		Rejected!	
CSR_EARLY_UP.V1_UP	153		Rejected!	
CSR_LATE_UP.V1_DN	147		Rejected!	
CSR_LATE_UP.V1_UP	166		Rejected!	
AKT_UP_MTOR_DN.V1_DN	185		Rejected!	
AKT_UP_MTOR_DN.V1_UP	178		Rejected!	
AKT_UP.V1_DN	187		Rejected!	
AKT_UP.V1_UP	169		Rejected!	
MTOR_UP.V1_DN	181		Rejected!	
MTOR_UP.V1_UP	169		Rejected!	
PIGF_UP.V1_DN	190		Rejected!	
PIGF_UP.V1_UP	190		Rejected!	
VEGF_A_UP.V1_DN	193		Rejected!	
VEGF_A_UP.V1_UP	195		Rejected!	
BCAT_GDS748_DN	45		Rejected!	
BCAT_GDS748_UP	48		Rejected!	
BCAT.100_UP.V1_DN	41		Rejected!	
BCAT.100_UP.V1_UP	49		Rejected!	
ATF2_S_UP.V1_DN	187		Rejected!	
ATF2_S_UP.V1_UP	192		Rejected!	
ATF2_UP.V1_DN	185		Rejected!	
ATF2_UP.V1_UP	190		Rejected!	
WNT_UP.V1_DN	170		Rejected!	
WNT_UP.V1_UP	178		Rejected!	
ATM_DN.V1_DN	146		Rejected!	
ATM_DN.V1_UP	146		Rejected!	
P53_DN.V2_DN	145		Rejected!	
P53_DN.V2_UP	148		Rejected!	
RELA_DN.V1_DN	139		Rejected!	
RELA_DN.V1_UP	149		Rejected!	
P53_DN.V1_DN	194		Rejected!	
P53_DN.V1_UP	194	16		
BCAT_BILD_ET_AL_DN	46		Rejected!	
BCAT_BILD_ET_AL_UP	45		Rejected!	
E2F3_UP.V1_DN	161		Rejected!	
E2F3_UP.V1_UP	191		Rejected!	
MYC_UP.V1_DN	172		Rejected!	
MYC_UP.V1_UP	181		Rejected!	
SRC_UP.V1_DN	169		Rejected!	
SRC_UP.V1_UP	178		Rejected!	
SNF5_DN.V1_DN	156		Rejected!	
SNF5_DN.V1_UP	173		Rejected!	
CAMP_UP.V1_DN	199		Rejected!	
CAMP_UP.V1_UP	200		Rejected!	
LTE2_UP.V1_DN	195		Rejected!	
LTE2_UP.V1_UP	188		Rejected!	
MEK_UP.V1_DN	193		Rejected!	
MEK_UP.V1_UP	195		Rejected!	
RAF_UP.V1_DN	193		Rejected!	
RAF_UP.V1_UP	193		Rejected!	
PRC1_BMI_UP.V1_DN	187		Rejected!	
PRC1_BMI_UP.V1_UP	185		Rejected!	
PRC2_EED_UP.V1_DN	193		Rejected!	
PRC2_EED_UP.V1_UP	191		Rejected!	
