Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3184279_forward	65.46072949807915	50.0	100.0	10.0	82476159.0
SRR3184279_reverse	63.87094991233517	50.0	100.0	10.0	82476159.0
SRR3184280_forward	64.59720753309594	49.0	100.0	20.0	50084443.0
SRR3184280_reverse	62.25811800817551	49.0	100.0	20.0	50084443.0
SRR3184281_forward	66.03048258279748	49.0	100.0	10.0	83417309.0
SRR3184281_reverse	66.80840921903535	50.0	100.0	10.0	83417309.0
SRR3184282_forward	67.46853901720931	50.0	100.0	20.0	72397468.0
SRR3184282_reverse	66.26234030737996	50.0	100.0	20.0	72397468.0
SRR3184283_forward	67.61569928727852	49.0	100.0	10.0	107450280.0
SRR3184283_reverse	68.7448714873791	49.0	100.0	10.0	107450280.0
SRR3184284_forward	64.55639909658498	48.0	100.0	20.0	59031115.0
SRR3184284_reverse	63.69069124312167	48.0	100.0	20.0	59031115.0
SRR3184285_forward	55.863329695664866	49.0	100.0	20.0	36566270.0
SRR3184285_reverse	55.875635636008326	49.0	100.0	20.0	36566270.0
SRR3184286_forward	73.72935382549727	47.0	100.0	20.0	85492431.0
SRR3184286_reverse	72.23059651904325	48.0	100.0	20.0	85492431.0
SRR3184287_forward	66.99975768334068	50.0	100.0	10.0	92701616.0
SRR3184287_reverse	64.78614298223643	50.0	100.0	10.0	92701616.0
SRR3184288_forward	62.60198393937977	50.0	100.0	20.0	66594303.0
SRR3184288_reverse	61.74703973520966	50.0	100.0	20.0	66594303.0
SRR3184289_forward	29.23557490346147	49.0	100.0	0.0	80651371.0
SRR3184289_reverse	62.39563277955186	50.0	100.0	10.0	80651371.0
SRR3184290_forward	60.64470642897132	48.0	100.0	20.0	105392870.0
SRR3184290_reverse	65.71132073774413	49.0	100.0	20.0	105392870.0
SRR3184291_forward	64.23428186227449	47.0	100.0	10.0	63320771.0
SRR3184291_reverse	61.44405270533026	47.0	100.0	10.0	63320771.0
SRR3184293_forward	43.92461780953051	51.0	100.0	0.0	55931661.0
SRR3184293_reverse	71.975899153258	51.0	100.0	10.0	55931661.0
SRR3184294_forward	63.594664676578304	49.0	100.0	20.0	47901563.0
SRR3184294_reverse	61.82922634022638	49.0	100.0	20.0	47901563.0
SRR3184295_forward	64.63648173659608	51.0	100.0	20.0	87727770.0
SRR3184295_reverse	65.17081066406726	51.0	100.0	20.0	87727770.0
SRR3184296_forward	65.50737600331834	47.0	100.0	10.0	76472375.0
SRR3184296_reverse	62.015957091951925	47.0	100.0	10.0	76472375.0
SRR3184297_forward	70.1907715442992	49.0	100.0	10.0	60745831.0
SRR3184297_reverse	66.37459836385935	49.0	100.0	10.0	60745831.0
SRR3184298_forward	71.14264512268011	48.0	100.0	20.0	92289809.0
SRR3184298_reverse	70.268893022613	49.0	100.0	10.0	92289809.0
SRR3184299_forward	66.72910801389132	47.0	100.0	20.0	87211314.0
SRR3184299_reverse	42.19136940249734	48.0	100.0	0.0	87211314.0
SRR3184300_forward	62.109552265171985	50.0	100.0	20.0	47512085.0
SRR3184300_reverse	60.49351522889191	50.0	100.0	20.0	47512085.0
SRR3184301_forward	57.4902425303322	48.0	100.0	20.0	61680455.0
SRR3184301_reverse	60.10141548503714	49.0	100.0	20.0	61680455.0
SRR3184302_forward	69.70124695860899	51.0	98.22012974944282	20.0	58770657.0
SRR3184302_reverse	68.64716878592324	52.0	98.66459168560937	20.0	58770657.0
SRR3184303_forward	58.2530902372408	46.0	98.46190535276418	20.0	60299574.0
SRR3184303_reverse	57.25250551284585	48.0	98.47591596584083	20.0	60299574.0
SRR3184304_forward	65.93818107485572	49.0	98.54855443753607	20.0	61696400.0
SRR3184304_reverse	64.81721799241606	49.0	98.59971606122886	20.0	61696400.0
SRR3184305_forward	69.53101154019569	51.0	97.95168505609286	30.0	58664872.0
SRR3184305_reverse	68.51454602292603	52.0	98.71663332019202	20.0	58664872.0
SRR3184306_forward	62.49808751964313	49.0	98.53665684652552	20.0	62472286.0
SRR3184306_reverse	61.99239074499231	50.0	98.6142168064732	20.0	62472286.0
