Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3184279_1	65.45348259044601	50.0	99.67799438655187	20.0	82427768.0
SRR3184279_2	63.94706835268018	50.0	99.78477095242953	20.0	82427768.0
SRR3184280_1	64.58466956173343	49.0	99.82609577302172	30.0	49985329.0
SRR3184280_2	62.26228559702227	49.0	99.8342988599715	30.0	49985329.0
SRR3184281_1	66.05177112458914	49.0	99.64569710791537	20.0	83309526.0
SRR3184281_2	66.85632297269281	50.0	99.73322964291022	20.0	83309526.0
SRR3184282_1	67.44387061007583	50.0	99.61750887243124	30.0	72354745.0
SRR3184282_2	66.23704807709834	50.0	99.77880458289225	30.0	72354745.0
SRR3184283_1	67.61522797489383	49.0	99.6850072065147	20.0	107311236.0
SRR3184283_2	68.75742269037667	49.0	99.74111588836793	20.0	107311236.0
SRR3184284_1	64.50800808601149	48.0	99.83747340572653	30.0	58914469.0
SRR3184284_2	63.65177356729722	48.0	99.84484388716123	30.0	58914469.0
SRR3184285_1	55.73941272860819	49.0	99.52015449489865	30.0	36564573.0
SRR3184285_2	55.74416207457057	49.0	99.53651508524385	30.0	36564573.0
SRR3184286_1	72.80471641236674	47.0	96.96971499683424	30.0	85423402.0
SRR3184286_2	71.36800286094063	48.0	97.65061410221054	30.0	85423402.0
SRR3184287_1	66.98170543065619	50.0	99.68652113010629	20.0	92647144.0
SRR3184287_2	64.88754627133846	50.0	99.7978257160307	20.0	92647144.0
SRR3184288_1	62.612936341660074	50.0	99.81531061390734	30.0	66465617.0
SRR3184288_2	61.77952668535862	50.0	99.82418287037041	30.0	66465617.0
SRR3184289_1	29.273262135934786	49.0	99.68217662100157	10.0	80547454.0
SRR3184289_2	62.48719797338034	50.0	99.73672406827409	20.0	80547454.0
SRR3184290_1	60.461101018763884	48.0	99.41326109595546	30.0	105308732.0
SRR3184290_2	65.55638477824468	49.0	99.44558844370094	30.0	105308732.0
SRR3184291_1	64.20200542915074	47.0	99.78960266924945	20.0	63170117.0
SRR3184291_2	61.407587281248226	47.0	99.83571608708593	20.0	63170117.0
SRR3184293_1	44.024920944624355	51.0	99.66254825530466	10.0	55860698.0
SRR3184293_2	72.01274893554927	51.0	99.80123384781193	20.0	55860698.0
SRR3184294_1	63.59813258474662	49.0	99.82447952806012	30.0	47811175.0
SRR3184294_2	61.839070126080905	49.0	99.83237186703737	30.0	47811175.0
SRR3184295_1	64.62827175439301	51.0	99.51082939493091	30.0	87615052.0
SRR3184295_2	65.16484437527575	51.0	99.7147368011606	30.0	87615052.0
SRR3184296_1	65.52738988826559	47.0	99.76381891012618	20.0	76291400.0
SRR3184296_2	61.99000620378256	47.0	99.81835189811696	20.0	76291400.0
SRR3184297_1	70.23056438630748	49.0	99.68518979517621	20.0	60601066.0
SRR3184297_2	66.43107991497075	49.0	99.8240956025427	20.0	60601066.0
SRR3184298_1	70.98753942620355	48.0	99.54535820942058	30.0	92241516.0
SRR3184298_2	70.09811260060913	49.0	99.57175820917774	20.0	92241516.0
SRR3184299_1	66.55432633237949	47.0	99.57670553260758	30.0	87165264.0
SRR3184299_2	42.07642632058545	48.0	99.60587733664181	10.0	87165264.0
SRR3184300_1	62.08838059784081	50.0	99.81077930157853	30.0	47420679.0
SRR3184300_2	60.49954121726799	50.0	99.82420555386818	30.0	47420679.0
SRR3184301_1	57.4876029696268	48.0	99.81234760293928	30.0	61558766.0
SRR3184301_2	60.10269447150887	49.0	99.81903688582712	30.0	61558766.0
SRR3184302_1	69.44008512395139	51.0	98.69793124290084	30.0	58211909.0
SRR3184302_2	69.13666129079357	52.0	98.63160237538337	20.0	58211909.0
SRR3184303_1	58.15510588139892	46.0	98.55925727198947	20.0	60080567.0
SRR3184303_2	57.3664803550064	48.0	98.4354194260517	20.0	60080567.0
SRR3184304_1	65.86955215881642	49.0	98.62388071779908	20.0	61488738.0
SRR3184304_2	64.91726252147276	49.0	98.56295704101132	30.0	61488738.0
SRR3184305_1	69.13092666488356	51.0	98.76623874379013	20.0	57802316.0
SRR3184305_2	69.28904790712656	52.0	98.68030623548026	20.0	57802316.0
SRR3184306_1	62.387317177470514	49.0	98.67321961564804	20.0	62205276.0
SRR3184306_2	62.15434545133346	50.0	98.57368725443803	20.0	62205276.0
