Module	Section	Sample Name	Source
FastQC	all_sections	SRR3184294_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_14/fastqc_data.txt
FastQC	all_sections	SRR3184281_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_2/fastqc_data.txt
FastQC	all_sections	SRR3184303_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_23/fastqc_data.txt
FastQC	all_sections	SRR3184300_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_47/fastqc_data.txt
FastQC	all_sections	SRR3184280_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_1/fastqc_data.txt
FastQC	all_sections	SRR3184293_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_13/fastqc_data.txt
FastQC	all_sections	SRR3184302_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_22/fastqc_data.txt
FastQC	all_sections	SRR3184283_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_31/fastqc_data.txt
FastQC	all_sections	SRR3184297_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_17/fastqc_data.txt
FastQC	all_sections	SRR3184301_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_21/fastqc_data.txt
FastQC	all_sections	SRR3184286_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_7/fastqc_data.txt
FastQC	all_sections	SRR3184282_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_30/fastqc_data.txt
FastQC	all_sections	SRR3184296_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_16/fastqc_data.txt
FastQC	all_sections	SRR3184305_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_25/fastqc_data.txt
FastQC	all_sections	SRR3184302_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_49/fastqc_data.txt
FastQC	all_sections	SRR3184295_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_15/fastqc_data.txt
FastQC	all_sections	SRR3184304_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_24/fastqc_data.txt
FastQC	all_sections	SRR3184282_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_3/fastqc_data.txt
FastQC	all_sections	SRR3184285_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_33/fastqc_data.txt
FastQC	all_sections	SRR3184299_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_19/fastqc_data.txt
FastQC	all_sections	SRR3184295_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_42/fastqc_data.txt
FastQC	all_sections	SRR3184284_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_32/fastqc_data.txt
FastQC	all_sections	SRR3184298_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_18/fastqc_data.txt
FastQC	all_sections	SRR3184294_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_41/fastqc_data.txt
FastQC	all_sections	SRR3184279_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_27/fastqc_data.txt
FastQC	all_sections	SRR3184288_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_9/fastqc_data.txt
FastQC	all_sections	SRR3184303_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_50/fastqc_data.txt
FastQC	all_sections	SRR3184288_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_36/fastqc_data.txt
FastQC	all_sections	SRR3184287_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_8/fastqc_data.txt
FastQC	all_sections	SRR3184293_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_40/fastqc_data.txt
FastQC	all_sections	SRR3184306_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_26/fastqc_data.txt
FastQC	all_sections	SRR3184287_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_35/fastqc_data.txt
FastQC	all_sections	SRR3184297_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_44/fastqc_data.txt
FastQC	all_sections	SRR3184289_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_10/fastqc_data.txt
FastQC	all_sections	SRR3184286_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_34/fastqc_data.txt
FastQC	all_sections	SRR3184283_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_4/fastqc_data.txt
FastQC	all_sections	SRR3184296_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_43/fastqc_data.txt
FastQC	all_sections	SRR3184281_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_29/fastqc_data.txt
FastQC	all_sections	SRR3184305_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_52/fastqc_data.txt
FastQC	all_sections	SRR3184290_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_38/fastqc_data.txt
FastQC	all_sections	SRR3184280_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_28/fastqc_data.txt
FastQC	all_sections	SRR3184304_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_51/fastqc_data.txt
FastQC	all_sections	SRR3184289_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_37/fastqc_data.txt
FastQC	all_sections	SRR3184299_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_46/fastqc_data.txt
FastQC	all_sections	SRR3184279_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_0/fastqc_data.txt
FastQC	all_sections	SRR3184291_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_12/fastqc_data.txt
FastQC	all_sections	SRR3184298_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_45/fastqc_data.txt
FastQC	all_sections	SRR3184290_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_11/fastqc_data.txt
FastQC	all_sections	SRR3184285_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_6/fastqc_data.txt
FastQC	all_sections	SRR3184300_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_20/fastqc_data.txt
FastQC	all_sections	SRR3184284_1	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_5/fastqc_data.txt
FastQC	all_sections	SRR3184306_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_53/fastqc_data.txt
FastQC	all_sections	SRR3184291_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_39/fastqc_data.txt
FastQC	all_sections	SRR3184301_2	/galaxy-repl/main/jobdir/033/174/33174579/working/multiqc_WDir/fastqc_0/data_0/file_48/fastqc_data.txt
