Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3184279_1	SRR3184279_1.gz	Conventional base calls	Sanger / Illumina 1.9	82427768.0	0.0	0-100	50.0	34.546517409553985	99.67799438655187	pass	pass	pass	warn	pass	pass	fail	fail	warn	pass
SRR3184279_2	SRR3184279_2.gz	Conventional base calls	Sanger / Illumina 1.9	82427768.0	0.0	0-100	50.0	36.05293164731982	99.78477095242953	pass	pass	pass	warn	pass	pass	fail	fail	pass	pass
SRR3184280_1	SRR3184280_1.gz	Conventional base calls	Sanger / Illumina 1.9	49985329.0	0.0	0-100	49.0	35.415330438266565	99.82609577302172	pass	pass	pass	fail	pass	pass	fail	fail	pass	pass
SRR3184280_2	SRR3184280_2.gz	Conventional base calls	Sanger / Illumina 1.9	49985329.0	0.0	0-100	49.0	37.73771440297773	99.8342988599715	pass	pass	pass	fail	pass	pass	fail	fail	pass	pass
SRR3184281_1	SRR3184281_1.gz	Conventional base calls	Sanger / Illumina 1.9	83309526.0	0.0	0-100	49.0	33.94822887541086	99.64569710791537	pass	pass	pass	warn	pass	warn	fail	fail	pass	pass
SRR3184281_2	SRR3184281_2.gz	Conventional base calls	Sanger / Illumina 1.9	83309526.0	0.0	0-100	50.0	33.14367702730719	99.73322964291022	pass	pass	pass	warn	pass	pass	fail	fail	pass	pass
SRR3184282_1	SRR3184282_1.gz	Conventional base calls	Sanger / Illumina 1.9	72354745.0	0.0	0-100	50.0	32.556129389924166	99.61750887243124	pass	pass	pass	fail	pass	pass	fail	fail	warn	pass
SRR3184282_2	SRR3184282_2.gz	Conventional base calls	Sanger / Illumina 1.9	72354745.0	0.0	0-100	50.0	33.762951922901664	99.77880458289225	pass	pass	pass	fail	pass	pass	fail	fail	pass	pass
SRR3184283_1	SRR3184283_1.gz	Conventional base calls	Sanger / Illumina 1.9	107311236.0	0.0	0-100	49.0	32.38477202510618	99.6850072065147	pass	pass	pass	warn	warn	warn	fail	fail	pass	pass
SRR3184283_2	SRR3184283_2.gz	Conventional base calls	Sanger / Illumina 1.9	107311236.0	0.0	0-100	49.0	31.24257730962332	99.74111588836793	pass	pass	pass	warn	warn	pass	fail	fail	pass	pass
SRR3184284_1	SRR3184284_1.gz	Conventional base calls	Sanger / Illumina 1.9	58914469.0	0.0	0-100	48.0	35.491991913988514	99.83747340572653	pass	pass	pass	fail	pass	pass	fail	fail	pass	pass
SRR3184284_2	SRR3184284_2.gz	Conventional base calls	Sanger / Illumina 1.9	58914469.0	0.0	0-100	48.0	36.34822643270278	99.84484388716123	pass	pass	pass	fail	pass	pass	fail	fail	pass	pass
SRR3184285_1	SRR3184285_1.gz	Conventional base calls	Sanger / Illumina 1.9	36564573.0	0.0	0-100	49.0	44.26058727139181	99.52015449489865	pass	pass	pass	fail	pass	pass	fail	fail	pass	pass
SRR3184285_2	SRR3184285_2.gz	Conventional base calls	Sanger / Illumina 1.9	36564573.0	0.0	0-100	49.0	44.25583792542943	99.53651508524385	pass	pass	pass	fail	pass	pass	fail	fail	pass	pass
SRR3184286_1	SRR3184286_1.gz	Conventional base calls	Sanger / Illumina 1.9	85423402.0	0.0	0-100	47.0	27.195283587633256	96.96971499683424	pass	pass	pass	fail	pass	pass	fail	fail	warn	pass
SRR3184286_2	SRR3184286_2.gz	Conventional base calls	Sanger / Illumina 1.9	85423402.0	0.0	0-100	48.0	28.631997139059358	97.65061410221054	pass	pass	pass	fail	pass	pass	fail	fail	pass	pass
