Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3184279_forward	SRR3184279_forward.gz	Conventional base calls	Sanger / Illumina 1.9	82476159.0	0.0	100.0	50.0	34.53927050192085	100.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR3184279_reverse	SRR3184279_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	82476159.0	0.0	100.0	50.0	36.12905008766483	100.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR3184280_forward	SRR3184280_forward.gz	Conventional base calls	Sanger / Illumina 1.9	50084443.0	0.0	100.0	49.0	35.40279246690406	100.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR3184280_reverse	SRR3184280_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	50084443.0	0.0	100.0	49.0	37.74188199182449	100.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR3184281_forward	SRR3184281_forward.gz	Conventional base calls	Sanger / Illumina 1.9	83417309.0	0.0	100.0	49.0	33.96951741720252	100.0	pass	pass	pass	warn	pass	warn	pass	fail	pass	pass
SRR3184281_reverse	SRR3184281_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	83417309.0	0.0	100.0	50.0	33.19159078096464	100.0	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR3184282_forward	SRR3184282_forward.gz	Conventional base calls	Sanger / Illumina 1.9	72397468.0	0.0	100.0	50.0	32.5314609827907	100.0	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
SRR3184282_reverse	SRR3184282_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	72397468.0	0.0	100.0	50.0	33.737659692620035	100.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR3184283_forward	SRR3184283_forward.gz	Conventional base calls	Sanger / Illumina 1.9	107450280.0	0.0	100.0	49.0	32.38430071272148	100.0	pass	pass	pass	warn	warn	warn	pass	fail	pass	pass
SRR3184283_reverse	SRR3184283_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	107450280.0	0.0	100.0	49.0	31.2551285126209	100.0	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
SRR3184284_forward	SRR3184284_forward.gz	Conventional base calls	Sanger / Illumina 1.9	59031115.0	0.0	100.0	48.0	35.44360090341502	100.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR3184284_reverse	SRR3184284_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	59031115.0	0.0	100.0	48.0	36.30930875687833	100.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR3184285_forward	SRR3184285_forward.gz	Conventional base calls	Sanger / Illumina 1.9	36566270.0	0.0	100.0	49.0	44.136670304335134	100.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR3184285_reverse	SRR3184285_reverse.gz	Conventional base calls	Sanger / Illumina 1.9	36566270.0	0.0	100.0	49.0	44.124364363991674	100.0	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
