Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3184279_1	SRR3184279_1.gz	Conventional base calls	Sanger / Illumina 1.9	82424812.0	0.0	20-100	50.0	36.0509646407754	99.7879339294095	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR3184279_2	SRR3184279_2.gz	Conventional base calls	Sanger / Illumina 1.9	82424812.0	0.0	20-100	50.0	36.0509646407754	99.7879339294095	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR3184280_1	SRR3184280_1.gz	Conventional base calls	Sanger / Illumina 1.9	49980250.0	0.0	20-100	49.0	37.733963155171054	99.84328773865677	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184280_2	SRR3184280_2.gz	Conventional base calls	Sanger / Illumina 1.9	49980250.0	0.0	20-100	49.0	37.733963155171054	99.84328773865677	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184281_1	SRR3184281_1.gz	Conventional base calls	Sanger / Illumina 1.9	83274689.0	0.0	20-100	50.0	33.13336154254198	99.77009369557658	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR3184281_2	SRR3184281_2.gz	Conventional base calls	Sanger / Illumina 1.9	83274689.0	0.0	20-100	50.0	33.13336154254198	99.77009369557658	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR3184282_1	SRR3184282_1.gz	Conventional base calls	Sanger / Illumina 1.9	72351233.0	0.0	20-100	50.0	33.760419595842784	99.78307211433425	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184282_2	SRR3184282_2.gz	Conventional base calls	Sanger / Illumina 1.9	72351233.0	0.0	20-100	50.0	33.760419595842784	99.78307211433425	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184283_1	SRR3184283_1.gz	Conventional base calls	Sanger / Illumina 1.9	107261056.0	0.0	20-100	49.0	31.23364074658081	99.7824687275128	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
SRR3184283_2	SRR3184283_2.gz	Conventional base calls	Sanger / Illumina 1.9	107261056.0	0.0	20-100	49.0	31.23364074658081	99.7824687275128	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
SRR3184284_1	SRR3184284_1.gz	Conventional base calls	Sanger / Illumina 1.9	58908676.0	0.0	20-100	48.0	36.34492218211994	99.85351906398304	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184284_2	SRR3184284_2.gz	Conventional base calls	Sanger / Illumina 1.9	58908676.0	0.0	20-100	48.0	36.34492218211994	99.85351906398304	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184285_1	SRR3184285_1.gz	Conventional base calls	Sanger / Illumina 1.9	36561554.0	0.0	20-100	49.0	44.253350860747965	99.5438063163289	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184285_2	SRR3184285_2.gz	Conventional base calls	Sanger / Illumina 1.9	36561554.0	0.0	20-100	49.0	44.253350860747965	99.5438063163289	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR3184286_1	SRR3184286_1.gz	Conventional base calls	Sanger / Illumina 1.9	85396438.0	0.0	20-100	48.0	28.622626813773376	97.67775124297339	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
