Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3184279_1	63.9490353592246	50.0	99.7879339294095	10.0	82424812.0
SRR3184279_2	63.9490353592246	50.0	99.7879339294095	10.0	82424812.0
SRR3184280_1	62.266036844828946	49.0	99.84328773865677	20.0	49980250.0
SRR3184280_2	62.266036844828946	49.0	99.84328773865677	20.0	49980250.0
SRR3184281_1	66.86663845745802	50.0	99.77009369557658	10.0	83274689.0
SRR3184281_2	66.86663845745802	50.0	99.77009369557658	10.0	83274689.0
SRR3184282_1	66.23958040415721	50.0	99.78307211433425	20.0	72351233.0
SRR3184282_2	66.23958040415721	50.0	99.78307211433425	20.0	72351233.0
SRR3184283_1	68.76635925341918	49.0	99.7824687275128	10.0	107261056.0
SRR3184283_2	68.76635925341918	49.0	99.7824687275128	10.0	107261056.0
SRR3184284_1	63.65507781788006	48.0	99.85351906398304	20.0	58908676.0
SRR3184284_2	63.65507781788006	48.0	99.85351906398304	20.0	58908676.0
SRR3184285_1	55.746649139252035	49.0	99.5438063163289	20.0	36561554.0
SRR3184285_2	55.746649139252035	49.0	99.5438063163289	20.0	36561554.0
SRR3184286_1	71.37737318622662	48.0	97.67775124297339	20.0	85396438.0
SRR3184286_2	71.37737318622662	48.0	97.67775124297339	20.0	85396438.0
SRR3184287_1	64.89178528894364	50.0	99.80237018339568	10.0	92642367.0
SRR3184287_2	64.89178528894364	50.0	99.80237018339568	10.0	92642367.0
SRR3184288_1	61.78382206404305	50.0	99.84195077725123	20.0	66452323.0
SRR3184288_2	61.78382206404305	50.0	99.84195077725123	20.0	66452323.0
SRR3184289_1	62.49791147254808	50.0	99.77379883616591	10.0	80513538.0
SRR3184289_2	62.49791147254808	50.0	99.77379883616591	10.0	80513538.0
SRR3184290_1	65.56322482521566	49.0	99.45868552989326	20.0	105293121.0
SRR3184290_2	65.56322482521566	49.0	99.45868552989326	20.0	105293121.0
SRR3184291_1	61.41023566313994	47.0	99.83906784019874	10.0	63167710.0
SRR3184291_2	61.41023566313994	47.0	99.83906784019874	10.0	63167710.0
SRR3184293_1	72.01766500032343	51.0	99.81468352775015	10.0	55852164.0
SRR3184293_2	72.01766500032343	51.0	99.81468352775015	10.0	55852164.0
SRR3184294_1	61.845439018334844	49.0	99.84065491095994	20.0	47806682.0
SRR3184294_2	61.845439018334844	49.0	99.84065491095994	20.0	47806682.0
SRR3184295_1	65.17947681448237	51.0	99.7560288686354	20.0	87573935.0
SRR3184295_2	65.17947681448237	51.0	99.7560288686354	20.0	87573935.0
SRR3184296_1	61.990783530471475	47.0	99.82390840370853	10.0	76286582.0
SRR3184296_2	61.990783530471475	47.0	99.82390840370853	10.0	76286582.0
SRR3184297_1	66.432035120613	49.0	99.82734021373088	10.0	60598824.0
SRR3184297_2	66.432035120613	49.0	99.82734021373088	10.0	60598824.0
SRR3184298_1	70.09813693934335	49.0	99.57226764833868	10.0	92240991.0
SRR3184298_2	70.09813693934335	49.0	99.57226764833868	10.0	92240991.0
SRR3184299_1	42.07645550368297	48.0	99.60633107692996	0.0	87164823.0
SRR3184299_2	42.07645550368297	48.0	99.60633107692996	0.0	87164823.0
SRR3184300_1	60.50094927543361	50.0	99.83145701144318	20.0	47416793.0
SRR3184300_2	60.50094927543361	50.0	99.83145701144318	20.0	47416793.0
SRR3184301_1	60.10652935895117	49.0	99.82950498565518	20.0	61551489.0
SRR3184301_2	60.10652935895117	49.0	99.82950498565518	20.0	61551489.0
SRR3184302_1	69.13666129079357	52.0	98.63160237538337	20.0	58211909.0
SRR3184302_2	69.13666129079357	52.0	98.63160237538337	20.0	58211909.0
SRR3184303_1	57.3664803550064	48.0	98.4354194260517	20.0	60080567.0
SRR3184303_2	57.3664803550064	48.0	98.4354194260517	20.0	60080567.0
SRR3184304_1	64.91726257222757	49.0	98.56295864395459	20.0	61488737.0
SRR3184304_2	64.91726257222757	49.0	98.56295864395459	20.0	61488737.0
SRR3184305_1	69.28904790712656	52.0	98.68030623548026	20.0	57802316.0
SRR3184305_2	69.28904790712656	52.0	98.68030623548026	20.0	57802316.0
SRR3184306_1	62.15434552052263	50.0	98.57368877478638	20.0	62205275.0
SRR3184306_2	62.15434552052263	50.0	98.57368877478638	20.0	62205275.0
