NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	406	2.60900616645813	0.011473095	No	
row_1	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	426	2.564007520675659	0.033796676	No	
row_2	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	447	2.5208699703216553	0.05570631	No	
row_3	SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	656	2.0779919624328613	0.06819853	No	
row_4	ANK1	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]	825	1.8858805894851685	0.08013973	No	
row_5	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	1062	1.6586954593658447	0.088076904	No	
row_6	CDR2	cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]	1357	1.4489506483078003	0.09245639	No	
row_7	GATA1	GATA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4170]	1492	1.36477792263031	0.10073688	No	
row_8	HTATIP2	HIV-1 Tat interactive protein 2 [Source:HGNC Symbol;Acc:HGNC:16637]	1604	1.313331127166748	0.10922707	No	
row_9	SLC4A1	solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]	1825	1.2111902236938477	0.113636814	No	
row_10	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	1826	1.210975170135498	0.1244411	No	
row_11	ALAS2	5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]	1827	1.2103432416915894	0.13523975	No	
row_12	BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	2273	1.0350803136825562	0.1315364	No	
