NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	28	5.443182945251465	0.036654823	Yes	
row_1	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]	40	5.168879508972168	0.07191571	Yes	
row_2	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	63	4.686746120452881	0.10353794	Yes	
row_3	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	123	3.9803152084350586	0.12922159	Yes	
row_4	NMUR1	neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]	171	3.51241135597229	0.15203325	Yes	
row_5	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	219	3.204744577407837	0.17272703	Yes	
row_6	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	232	3.1463136672973633	0.19403623	Yes	
row_7	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	285	2.9502339363098145	0.21283269	Yes	
row_8	AXL	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	378	2.678910970687866	0.22859848	Yes	
row_9	PROK2	prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]	423	2.5704288482666016	0.24501309	Yes	
row_10	HRH1	histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]	486	2.4129252433776855	0.25982016	Yes	
row_11	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	489	2.4054782390594482	0.27632046	Yes	
row_12	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	593	2.1836512088775635	0.28835723	Yes	
row_13	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	619	2.1344709396362305	0.30232328	Yes	
row_14	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	688	2.046511650085449	0.31443363	Yes	
row_15	SLC4A4	solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]	700	2.036163568496704	0.32813004	Yes	
row_16	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	834	1.8595645427703857	0.33706367	Yes	
row_17	OPRK1	opioid receptor kappa 1 [Source:HGNC Symbol;Acc:HGNC:8154]	1036	1.6782035827636719	0.34277177	Yes	
row_18	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	1038	1.6762105226516724	0.35428113	Yes	
row_19	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	1086	1.6396002769470215	0.36420104	Yes	
row_20	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	1164	1.581587314605713	0.37284935	Yes	
row_21	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	1247	1.5196571350097656	0.38092598	Yes	
row_22	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1315	1.4779860973358154	0.3891519	Yes	
row_23	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	1429	1.4065032005310059	0.3955483	Yes	
row_24	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	1602	1.3152306079864502	0.399601	Yes	
row_25	CXCR6	C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]	1607	1.3128011226654053	0.40852156	Yes	
row_26	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	1797	1.22066068649292	0.411429	Yes	
row_27	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1893	1.1850162744522095	0.4168241	Yes	
