NAME	TITLE	SCORE	
MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	9.8024	
LINC01819	long intergenic non-protein coding RNA 1819 [Source:HGNC Symbol;Acc:HGNC:52624]	8.038615	
FOXC2	forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]	8.009239	
AC012101.2	novel transcript	7.854949	
DRAXIN	dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054]	7.846847	
APCDD1L	APC down-regulated 1 like [Source:HGNC Symbol;Acc:HGNC:26892]	7.710604	
SLC10A4	solute carrier family 10 member 4 [Source:HGNC Symbol;Acc:HGNC:22980]	7.2241015	
TDRD12	tudor domain containing 12 [Source:HGNC Symbol;Acc:HGNC:25044]	7.2032166	
ALDH1L2	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	7.079743	
RN7SL5P	RNA, 7SL, cytoplasmic 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:10040]	6.8375335	
ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	6.549894	
LCT-AS1	LCT antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40337]	6.310796	
AJAP1	adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]	6.2661376	
CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	6.0937552	
LRRC17	leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]	6.0588584	
FOXL1	forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]	6.0300965	
CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23228]	6.0246387	
FHL5	four and a half LIM domains 5 [Source:HGNC Symbol;Acc:HGNC:17371]	6.005667	
AC091182.1	novel transcript	5.955846	
PHACTR3	phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833]	5.9288635	
AC005280.2	novel transcript	5.7240267	
TMEM100	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]	5.714756	
CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	5.5814333	
HAPLN1	hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]	5.5491643	
STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	5.524587	
STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	5.518922	
RNA5-8SN4	RNA, 5.8S ribosomal N4 [Source:HGNC Symbol;Acc:HGNC:53529]	5.5010905	
AC087392.1	novel transcript, antisense to NXN	5.4907503	
INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	5.443183	
FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	5.4337206	
COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	5.427859	
DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]	5.366127	
SNORA73B	small nucleolar RNA, H/ACA box 73B [Source:HGNC Symbol;Acc:HGNC:10116]	5.356895	
MRC2	mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]	5.34938	
GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	5.3428025	
PODNL1	podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275]	5.334525	
WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	5.3331776	
KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	5.315355	
RASL11B	RAS like family 11 member B [Source:HGNC Symbol;Acc:HGNC:23804]	5.2380514	
MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	5.204238	
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]	5.1688795	
GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2 [Source:HGNC Symbol;Acc:HGNC:4076]	5.1671033	
PRPH2	peripherin 2 [Source:HGNC Symbol;Acc:HGNC:9942]	5.15103	
SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	5.14847	
RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	5.1356297	
VAT1L	vesicle amine transport 1 like [Source:HGNC Symbol;Acc:HGNC:29315]	5.128657	
KLRC2	killer cell lectin like receptor C2 [Source:HGNC Symbol;Acc:HGNC:6375]	5.124881	
FGF14	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]	5.0430846	
LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	5.01104	
HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	4.9495583	
MEG9	maternally expressed 9 [Source:HGNC Symbol;Acc:HGNC:43874]	4.9288917	
DMRT2	doublesex and mab-3 related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2935]	4.922598	
CCDC74A	coiled-coil domain containing 74A [Source:HGNC Symbol;Acc:HGNC:25197]	4.921418	
DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	4.9196177	
NR0B1	nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]	4.9181314	
FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	4.9040704	
EBF4	EBF family member 4 [Source:HGNC Symbol;Acc:HGNC:29278]	4.848975	
