NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	100	0.5642243027687073	0.03140058	Yes	
row_1	LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	213	0.5146326422691345	0.05943901	Yes	
row_2	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	218	0.5125907063484192	0.090481944	Yes	
row_3	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	240	0.5062156915664673	0.12064488	Yes	
row_4	COL10A1	collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]	331	0.4859505295753479	0.14757714	Yes	
row_5	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	348	0.4803979992866516	0.17631555	Yes	
row_6	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	371	0.4758073687553406	0.2046011	Yes	
row_7	ANLN	anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	377	0.47451484203338623	0.23330054	Yes	
row_8	SFRP4	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	424	0.4643458127975464	0.26019412	Yes	
row_9	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	564	0.44376125931739807	0.28314236	Yes	
row_10	GLCCI1	glucocorticoid induced 1 [Source:HGNC Symbol;Acc:HGNC:18713]	627	0.4338366985321045	0.3077179	Yes	
row_11	CTHRC1	collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]	665	0.42924943566322327	0.3327388	Yes	
row_12	TMEM107	transmembrane protein 107 [Source:HGNC Symbol;Acc:HGNC:28128]	766	0.41669943928718567	0.35517177	Yes	
row_13	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	1037	0.38989144563674927	0.37105054	Yes	
row_14	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	1089	0.386417955160141	0.39306226	Yes	
row_15	TRIM59	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	1273	0.37170353531837463	0.41035572	Yes	
row_16	UNC5B	unc-5 netrin receptor B [Source:HGNC Symbol;Acc:HGNC:12568]	1284	0.3712446689605713	0.43263283	Yes	
row_17	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	1561	0.35187387466430664	0.4460268	Yes	
row_18	VOPP1	VOPP1 WW domain binding protein [Source:HGNC Symbol;Acc:HGNC:34518]	1628	0.34701672196388245	0.46520895	Yes	
row_19	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	2132	0.32128089666366577	0.47016734	Yes	
row_20	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	3102	0.2884984612464905	0.4596336	Yes	
row_21	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	3172	0.28673914074897766	0.47506472	Yes	
