NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	0	9.802399635314941	0.07086338	Yes	
row_1	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	63	4.686746120452881	0.1029453	Yes	
row_2	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	154	3.6839942932128906	0.12696548	Yes	
row_3	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	160	3.6532034873962402	0.15323006	Yes	
row_4	MMP11	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]	276	2.9698359966278076	0.17136186	Yes	
row_5	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	320	2.8478639125823975	0.1907016	Yes	
row_6	F2RL2	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]	350	2.763439893722534	0.20983735	Yes	
row_7	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	510	2.3565478324890137	0.22225855	Yes	
row_8	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	584	2.200913190841675	0.23605067	Yes	
row_9	PECAM1	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	585	2.2004475593566895	0.2519581	Yes	
row_10	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	601	2.167774200439453	0.267194	Yes	
row_11	MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	602	2.166532039642334	0.2828563	Yes	
row_12	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	697	2.0407700538635254	0.2948812	Yes	
row_13	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	742	1.994937539100647	0.30802593	Yes	
row_14	APOC2	apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]	780	1.942753553390503	0.3209966	Yes	
row_15	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	819	1.891494870185852	0.33356768	Yes	
row_16	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	834	1.8595645427703857	0.3466045	Yes	
row_17	P2RY1	purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]	1011	1.6930325031280518	0.35373563	Yes	
row_18	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	1269	1.5067596435546875	0.35716927	Yes	
row_19	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1412	1.4155470132827759	0.36328122	Yes	
row_20	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	1414	1.4150495529174805	0.37348184	Yes	
row_21	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	1522	1.3519225120544434	0.38014966	Yes	
row_22	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1587	1.321380615234375	0.38784465	Yes	
row_23	KLF7	Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	2126	1.0853255987167358	0.3800761	Yes	
